,value
total_return,-0.25751714501447975
annual_return,-0.060080158145434326
annual_volatility,0.14476393950508337
sharpe_ratio,-0.41502157478468327
max_drawdown,-0.3099812807581319
final_value,74248.28549855202
trade_count,20.0
