date,equity
2020-01-02,100000.0
2020-01-03,100000.0
2020-01-06,100000.0
2020-01-07,100000.0
2020-01-08,100000.0
2020-01-09,100000.0
2020-01-10,100000.0
2020-01-13,100000.0
2020-01-14,100000.0
2020-01-15,100000.0
2020-01-16,100000.0
2020-01-17,100000.0
2020-01-20,100000.0
2020-01-21,100000.0
2020-01-22,100000.0
2020-01-23,100000.0
2020-02-03,100000.0
2020-02-04,100000.0
2020-02-05,100000.0
2020-02-06,100000.0
2020-02-07,100000.0
2020-02-10,100000.0
2020-02-11,100000.0
2020-02-12,100000.0
2020-02-13,100000.0
2020-02-14,100000.0
2020-02-17,100000.0
2020-02-18,100000.0
2020-02-19,100000.0
2020-02-20,100000.0
2020-02-21,100000.0
2020-02-24,100000.0
2020-02-25,100000.0
2020-02-26,100000.0
2020-02-27,100000.0
2020-02-28,100000.0
2020-03-02,100000.0
2020-03-03,100000.0
2020-03-04,100000.0
2020-03-05,100000.0
2020-03-06,100000.0
2020-03-09,100000.0
2020-03-10,100000.0
2020-03-11,100000.0
2020-03-12,100000.0
2020-03-13,100000.0
2020-03-16,100000.0
2020-03-17,100000.0
2020-03-18,100000.0
2020-03-19,100000.0
2020-03-20,100000.0
2020-03-23,100000.0
2020-03-24,100000.0
2020-03-25,100000.0
2020-03-26,100000.0
2020-03-27,100000.0
2020-03-30,100000.0
2020-03-31,100000.0
2020-04-01,100000.0
2020-04-02,100000.0
2020-04-03,100000.0
2020-04-07,100000.0
2020-04-08,100000.0
2020-04-09,100000.0
2020-04-10,100000.0
2020-04-13,100000.0
2020-04-14,100000.0
2020-04-15,100000.0
2020-04-16,100000.0
2020-04-17,100000.0
2020-04-20,100000.0
2020-04-21,100000.0
2020-04-22,99654.834458143
2020-04-23,99654.834458143
2020-04-24,99678.74445814299
2020-04-27,100300.40445814299
2020-04-28,100348.224458143
2020-04-29,101543.724458143
2020-04-30,101087.441815261
2020-05-06,100297.201815261
2020-05-07,99902.08181526099
2020-05-08,101186.221815261
2020-05-11,101433.17181526098
2020-05-12,100395.981815261
2020-05-13,99605.74181526099
2020-05-14,97975.871815261
2020-05-15,97630.14181526098
2020-05-18,97460.7752171251
2020-05-19,97460.7752171251
2020-05-20,97460.7752171251
2020-05-21,97460.7752171251
2020-05-22,97460.7752171251
2020-05-25,97460.7752171251
2020-05-26,97460.7752171251
2020-05-27,97460.7752171251
2020-05-28,97460.7752171251
2020-05-29,97460.7752171251
2020-06-01,97460.7752171251
2020-06-02,97460.7752171251
2020-06-03,97460.7752171251
2020-06-04,97460.7752171251
2020-06-05,97460.7752171251
2020-06-08,97460.7752171251
2020-06-09,97460.7752171251
2020-06-10,97460.7752171251
2020-06-11,97460.7752171251
2020-06-12,97460.7752171251
2020-06-15,97460.7752171251
2020-06-16,97460.7752171251
2020-06-17,97460.7752171251
2020-06-18,97460.7752171251
2020-06-19,97460.7752171251
2020-06-22,97460.7752171251
2020-06-23,97460.7752171251
2020-06-24,97460.7752171251
2020-06-29,97460.7752171251
2020-06-30,97460.7752171251
2020-07-01,97460.7752171251
2020-07-02,97460.7752171251
2020-07-03,97460.7752171251
2020-07-06,100731.1187789767
2020-07-07,97910.06677016072
2020-07-08,99512.22677016072
2020-07-09,98196.16677016072
2020-07-10,94362.4267701607
2020-07-13,93418.43623361112
2020-07-14,93418.43623361112
2020-07-15,93418.43623361112
2020-07-16,93418.43623361112
2020-07-17,93418.43623361112
2020-07-20,93418.43623361112
2020-07-21,93418.43623361112
2020-07-22,93418.43623361112
2020-07-23,93418.43623361112
2020-07-24,93418.43623361112
2020-07-27,93418.43623361112
2020-07-28,93418.43623361112
2020-07-29,93418.43623361112
2020-07-30,93418.43623361112
2020-07-31,93418.43623361112
2020-08-03,93418.43623361112
2020-08-04,93418.43623361112
2020-08-05,93418.43623361112
2020-08-06,93418.43623361112
2020-08-07,93418.43623361112
2020-08-10,93418.43623361112
2020-08-11,93418.43623361112
2020-08-12,93418.43623361112
2020-08-13,93418.43623361112
2020-08-14,93418.43623361112
2020-08-17,93418.43623361112
2020-08-18,93306.92475305893
2020-08-19,93205.87475305893
2020-08-20,92175.16475305893
2020-08-21,91892.22475305892
2020-08-24,91912.43475305893
2020-08-25,92195.37475305893
2020-08-26,91730.54475305893
2020-08-27,91912.43475305893
2020-08-28,93266.50475305892
2020-08-31,93165.45475305893
2020-09-01,93286.71475305894
2020-09-02,93650.49475305894
2020-09-03,92801.67475305893
2020-09-04,92922.93475305893
2020-09-07,92882.51475305893
2020-09-08,93872.80475305894
2020-09-09,93428.18475305893
2020-09-10,93690.91475305893
2020-09-11,93023.98475305893
2020-09-14,93610.07475305893
2020-09-15,93711.12475305893
2020-09-16,93893.01475305893
2020-09-17,94208.37871967015
2020-09-18,96284.87871967015
2020-09-21,95095.27554824973
2020-09-22,93258.12554824974
2020-09-23,93638.22554824973
2020-09-24,90407.37554824974
2020-09-25,90881.38804749673
2020-09-28,90881.38804749673
2020-09-29,90881.38804749673
2020-09-30,90881.38804749673
2020-10-09,90881.38804749673
2020-10-12,90881.38804749673
2020-10-13,90881.38804749673
2020-10-14,90881.38804749673
2020-10-15,90881.38804749673
2020-10-16,91921.09609266273
2020-10-19,92990.10093408993
2020-10-20,93220.50093408993
2020-10-21,94641.30093408993
2020-10-22,92582.31059137953
2020-10-23,95826.18059137953
2020-10-26,93379.05059137952
2020-10-27,93720.51059137953
2020-10-28,92980.68059137953
2020-10-29,93777.42059137953
2020-10-30,93663.60059137952
2020-11-02,92980.68059137953
2020-11-03,94858.71059137952
2020-11-04,96907.47059137952
2020-11-05,93379.05059137952
2020-11-06,93037.59059137953
2020-11-09,94175.79059137953
2020-11-10,95712.36059137952
2020-11-11,94005.06059137953
2020-11-12,93151.41059137954
2020-11-13,90419.73059137953
2020-11-16,89816.89687359813
2020-11-17,89816.89687359813
2020-11-18,89816.89687359813
2020-11-19,89816.89687359813
2020-11-20,89849.94417869873
2020-11-23,90924.58417869874
2020-11-24,90175.74740299635
2020-11-25,89323.14740299634
2020-11-26,90573.62740299632
2020-11-27,91142.02740299635
2020-11-30,91255.70740299634
2020-12-01,92136.72740299633
2020-12-02,90529.46609295164
2020-12-03,90152.45609295163
2020-12-04,89147.09609295163
2020-12-07,87513.38609295162
2020-12-08,86675.58609295162
2020-12-09,86675.58609295162
2020-12-10,86424.24609295164
2020-12-11,86648.02454022312
2020-12-14,86648.02454022312
2020-12-15,86648.02454022312
2020-12-16,86648.02454022312
2020-12-17,86648.02454022312
2020-12-18,86648.02454022312
2020-12-21,86648.02454022312
2020-12-22,86648.02454022312
2020-12-23,86648.02454022312
2020-12-24,86648.02454022312
2020-12-25,86648.02454022312
2020-12-28,86648.02454022312
2020-12-29,86648.02454022312
2020-12-30,86648.02454022312
2020-12-31,86648.02454022312
2021-01-04,86648.02454022312
2021-01-05,86648.02454022312
2021-01-06,86648.02454022312
2021-01-07,86648.02454022312
2021-01-08,86575.90508731431
2021-01-11,87245.82508731433
2021-01-12,88785.35039726371
2021-01-13,87640.96724608072
2021-01-14,85635.97724608071
2021-01-15,88775.86724608071
2021-01-18,95206.96724608072
2021-01-19,93689.42731512572
2021-01-20,94294.83731512573
2021-01-21,93177.15731512572
2021-01-22,92245.75731512572
2021-01-25,94387.97731512572
2021-01-26,93829.13731512573
2021-01-27,97135.60731512573
2021-01-28,95878.21731512573
2021-01-29,97182.17731512572
2021-02-01,103981.39731512572
2021-02-02,98067.00731512572
2021-02-03,105844.19731512571
2021-02-04,104214.24731512573
2021-02-05,105751.05731512573
2021-02-08,105145.64731512572
2021-02-09,104121.10731512573
2021-02-10,100581.78731512572
2021-02-18,102817.14731512572
2021-02-19,100721.49731512573
2021-02-22,93875.70731512574
2021-02-23,93838.23059009094
2021-02-24,93838.23059009094
2021-02-25,93838.23059009094
2021-02-26,93838.23059009094
2021-03-01,93838.23059009094
2021-03-02,93838.23059009094
2021-03-03,93838.23059009094
2021-03-04,93838.23059009094
2021-03-05,93838.23059009094
