data,ref,bar_open,bar_close,pnl,pnl_comm,entry_value,return_pct
sh_600030,1,1051,1143,2775.632468839999,2763.373257234787,19044.203107600002,0.1451031183411399
sh_600061,2,1057,1150,2711.2090801599998,2698.9608290714077,19058.14727424,0.14161716720068934
sh_600104,7,1150,1153,1943.7510674399953,1931.4440541024674,19539.813362160003,0.09884659685863849
