date,symbol,open,high,low,close,volume,openinterest,pe_ttm,pb
2020-01-02,sh.600039,1.82052492,1.879598,1.7990438,1.8527466,65122151.0,0.0,8.521393,0.850475
2020-01-03,sh.600039,1.84737632,1.84737632,1.82052492,1.83126548,30636804.0,0.0,8.422594,0.840615
2020-01-06,sh.600039,1.81515464,1.8258952,1.76682212,1.81515464,63180719.0,0.0,8.348495,0.833219
2020-01-07,sh.600039,1.80978436,1.879598,1.7990438,1.879598,62619404.0,0.0,8.644891,0.862801
2020-01-08,sh.600039,1.9064494,1.91181968,1.84737632,1.87422772,66085874.0,0.0,8.620192,0.860336
2020-01-09,sh.600039,1.879598,1.89570884,1.86348716,1.87422772,30300992.0,0.0,8.620192,0.860336
2020-01-10,sh.600039,1.879598,1.879598,1.84200604,1.879598,26426294.0,0.0,8.644891,0.862801
2020-01-13,sh.600039,1.87422772,1.879598,1.84737632,1.86885744,14836704.0,0.0,8.595492,0.857871
2020-01-14,sh.600039,1.89033856,1.89570884,1.86885744,1.88496828,23023347.0,0.0,8.669591,0.865266
2020-01-15,sh.600039,1.879598,1.879598,1.84737632,1.8527466,14926703.0,0.0,8.521393,0.850475
2020-01-16,sh.600039,1.85811688,1.85811688,1.82052492,1.8258952,18221725.0,0.0,8.397894,0.83815
2020-01-17,sh.600039,1.83663576,1.89570884,1.83126548,1.86885744,68623500.0,0.0,8.595492,0.857871
2020-01-20,sh.600039,1.879598,1.879598,1.8527466,1.87422772,15927282.0,0.0,8.620192,0.860336
2020-01-21,sh.600039,1.85811688,1.86885744,1.83663576,1.84200604,15086477.0,0.0,8.471993,0.845545
2020-01-22,sh.600039,1.83663576,1.8527466,1.80441408,1.83126548,16431672.0,0.0,8.422594,0.840615
2020-01-23,sh.600039,1.83126548,1.83663576,1.7721924,1.78830324,25325725.0,0.0,8.224997,0.820894
2020-02-03,sh.600039,1.611084,1.6647868,1.611084,1.62719484,66972391.0,0.0,7.484006,0.746939
2020-02-04,sh.600039,1.61645428,1.67015708,1.61645428,1.65941652,27537895.0,0.0,7.632204,0.76173
2020-02-05,sh.600039,1.65941652,1.70237876,1.64867596,1.67015708,24264568.0,0.0,7.681603,0.76666
2020-02-06,sh.600039,1.83663576,1.83663576,1.75608156,1.80978436,65700584.0,0.0,8.323795,0.830754
2020-02-07,sh.600039,1.78830324,1.80978436,1.7721924,1.79367352,30166248.0,0.0,8.249696,0.823359
2020-02-10,sh.600039,1.78293296,1.83663576,1.77756268,1.81515464,30501963.0,0.0,8.567698,0.855097
2020-02-11,sh.600039,1.80978436,1.83126548,1.7990438,1.80441408,20008126.0,0.0,8.517001,0.850037
2020-02-12,sh.600039,1.7990438,1.80978436,1.78830324,1.80441408,16924462.0,0.0,8.517001,0.850037
2020-02-13,sh.600039,1.7990438,1.81515464,1.7721924,1.78293296,21882730.0,0.0,8.415608,0.839917
2020-02-14,sh.600039,1.77756268,1.78830324,1.76145184,1.7721924,16352047.0,0.0,8.364912,0.834858
2020-02-17,sh.600039,1.7721924,1.80441408,1.76682212,1.80441408,24866623.0,0.0,8.517001,0.850037
2020-02-18,sh.600039,1.7990438,1.80978436,1.78830324,1.7990438,22519753.0,0.0,8.491653,0.847507
2020-02-19,sh.600039,1.79367352,1.81515464,1.78293296,1.7990438,26201610.0,0.0,8.491653,0.847507
2020-02-20,sh.600039,1.80441408,1.84737632,1.7990438,1.84200604,49462182.0,0.0,8.694439,0.867746
2020-02-21,sh.600039,1.84737632,1.84737632,1.82052492,1.8258952,38574194.0,0.0,8.618394,0.860156
2020-02-24,sh.600039,1.83126548,1.8527466,1.80978436,1.82052492,35270379.0,0.0,8.593046,0.857627
