date,symbol,open,high,low,close,volume,openinterest,pe_ttm,pb
2020-01-02,sh.600919,4.79581398,4.82212846,4.78265674,4.78265674,55581602,0.0,5.714281,0.775299
2020-01-03,sh.600919,4.77607812,4.79581398,4.76292088,4.76292088,25829845,0.0,5.690701,0.772099
2020-01-06,sh.600919,4.74976364,4.76292088,4.68397744,4.71029192,51957541,0.0,5.627821,0.763568
2020-01-07,sh.600919,4.71029192,4.78265674,4.71029192,4.76292088,40734177,0.0,5.690701,0.772099
2020-01-08,sh.600919,4.74318502,4.75634226,4.69055606,4.69055606,35900499,0.0,5.60424,0.760369
2020-01-09,sh.600919,4.73002778,4.74318502,4.69713468,4.71029192,28247329,0.0,5.627821,0.763568
2020-01-10,sh.600919,4.71687054,4.73002778,4.7037133,4.73002778,18533025,0.0,5.651401,0.766767
2020-01-13,sh.600919,4.71687054,4.75634226,4.7037133,4.75634226,19995403,0.0,5.682841,0.771033
2020-01-14,sh.600919,4.75634226,4.77607812,4.71687054,4.73002778,29666596,0.0,5.651401,0.766767
2020-01-15,sh.600919,4.73002778,4.73002778,4.67739882,4.69055606,28003431,0.0,5.60424,0.760369
2020-01-16,sh.600919,4.69713468,4.71687054,4.6708202,4.6708202,20503570,0.0,5.58066,0.757169
2020-01-17,sh.600919,4.6708202,4.7037133,4.65766296,4.6708202,25083425,0.0,5.58066,0.757169
2020-01-20,sh.600919,4.65766296,4.69055606,4.6379271,4.69055606,23420488,0.0,5.6305,0.760369
2020-01-21,sh.600919,4.68397744,4.68397744,4.65108434,4.65108434,21212094,0.0,5.583119,0.75397
2020-01-22,sh.600919,4.66424158,4.69713468,4.61819124,4.67739882,28153790,0.0,5.614707,0.758236
2020-01-23,sh.600919,4.65108434,4.66424158,4.5392478,4.5721409,36118326,0.0,5.488356,0.741173
2020-02-03,sh.600919,4.15110922,4.276103,4.11821612,4.276103,81076221,0.0,5.132995,0.693183
2020-02-04,sh.600919,4.2432099,4.4405685,4.23005266,4.33531058,45621429,0.0,5.204067,0.702781
2020-02-05,sh.600919,4.3418892,4.36820368,4.28268162,4.3089961,34710519,0.0,5.172479,0.698515
2020-02-06,sh.600919,4.32215334,4.34846782,4.276103,4.32873196,35731837,0.0,5.19617,0.701715
2020-02-07,sh.600919,4.31557472,4.31557472,4.26294576,4.31557472,41484923,0.0,5.180376,0.699582
2020-02-10,sh.600919,4.28926024,4.3089961,4.276103,4.29583886,27102165,0.0,5.156685,0.696382
2020-02-11,sh.600919,4.29583886,4.34846782,4.29583886,4.31557472,28694391,0.0,5.180376,0.699582
2020-02-12,sh.600919,4.31557472,4.3418892,4.29583886,4.33531058,22540585,0.0,5.204067,0.702781
2020-02-13,sh.600919,4.33531058,4.36162506,4.29583886,4.30241748,19508293,0.0,5.164582,0.697449
2020-02-14,sh.600919,4.29583886,4.32873196,4.28926024,4.31557472,16556276,0.0,5.180376,0.699582
2020-02-17,sh.600919,4.3089961,4.39451816,4.3089961,4.39451816,35044941,0.0,5.275139,0.712379
2020-02-18,sh.600919,4.38136092,4.38793954,4.3418892,4.35504644,28864800,0.0,5.227758,0.70598
2020-02-19,sh.600919,4.35504644,4.38136092,4.33531058,4.3418892,27311628,0.0,5.227758,0.70598
2020-02-20,sh.600919,4.34846782,4.42083264,4.33531058,4.41425402,42856586,0.0,5.29883,0.715578
2020-02-21,sh.600919,4.39451816,4.42741126,4.38136092,4.40109678,32373011,0.0,5.283036,0.713445
2020-02-24,sh.600919,4.3747823,4.42083264,4.36162506,4.36820368,29890404,0.0,5.243552,0.708113
2020-02-25,sh.600919,4.31557472,4.33531058,4.28268162,4.3089961,33578384,0.0,5.172479,0.698515
2020-02-26,sh.600919,4.28268162,4.36820368,4.276103,4.31557472,40248009,0.0,5.180376,0.699582
2020-02-27,sh.600919,4.3089961,4.33531058,4.30241748,4.32873196,23939955,0.0,5.19617,0.701715
2020-02-28,sh.600919,4.276103,4.3089961,4.19715956,4.19715956,50135472,0.0,5.038232,0.680386
2020-03-02,sh.600919,4.2103168,4.28268162,4.2103168,4.276103,37164703,0.0,5.132995,0.693183
2020-03-03,sh.600919,4.30241748,4.32215334,4.28268162,4.28926024,32512358,0.0,5.148789,0.695316
2020-03-04,sh.600919,4.276103,4.30241748,4.26294576,4.28926024,24046975,0.0,5.148789,0.695316
2020-03-05,sh.600919,4.3089961,4.39451816,4.28926024,4.38136092,63663840,0.0,5.259345,0.710246
