date,symbol,open,high,low,close,volume,openinterest,pe_ttm,pb
2020-01-02,sh.601009,6.38718864,6.473502,6.37280308,6.37280308,70986469,0.0,6.066711,1.007218
2020-01-03,sh.601009,6.38718864,6.38718864,6.33683918,6.34403196,38888344,0.0,6.039322,1.00267
2020-01-06,sh.601009,6.31526084,6.37999586,6.27210416,6.30806806,48849718,0.0,6.005085,0.996986
2020-01-07,sh.601009,6.31526084,6.39438142,6.31526084,6.37999586,38965326,0.0,6.073558,1.008354
2020-01-08,sh.601009,6.35122474,6.35841752,6.24333304,6.25052582,48314850,0.0,5.950307,0.987892
2020-01-09,sh.601009,6.31526084,6.33683918,6.27210416,6.30087528,29842122,0.0,5.998238,0.995849
2020-01-10,sh.601009,6.30087528,6.32245362,6.26491138,6.30087528,21096728,0.0,5.998238,0.995849
2020-01-13,sh.601009,6.28648972,6.30087528,6.23614026,6.27929694,36731540,0.0,5.977696,0.992439
2020-01-14,sh.601009,6.28648972,6.33683918,6.27210416,6.28648972,36152470,0.0,5.984543,0.993576
2020-01-15,sh.601009,6.27929694,6.30087528,6.23614026,6.28648972,29478733,0.0,5.984543,0.993576
2020-01-16,sh.601009,6.27929694,6.2936825,6.17140524,6.20017636,32280074,0.0,5.902375,0.979934
2020-01-17,sh.601009,6.20017636,6.24333304,6.17859802,6.19298358,19913968,0.0,5.895528,0.978797
2020-01-20,sh.601009,6.20736914,6.26491138,6.20017636,6.22894748,25955493,0.0,5.929765,0.984481
2020-01-21,sh.601009,6.22894748,6.22894748,6.0778991,6.09947744,53396011,0.0,5.806513,0.964019
2020-01-22,sh.601009,6.0778991,6.12824856,6.02035686,6.113863,33690642,0.0,5.820208,0.966292
2020-01-23,sh.601009,6.06351354,6.09228466,5.92685072,5.94842906,48320226,0.0,5.66272,0.940146
2020-02-03,sh.601009,5.45212724,5.58159728,5.35142832,5.47370558,104732102,0.0,5.210798,0.865116
2020-02-04,sh.601009,5.47370558,5.6463323,5.4665128,5.63913952,63441114,0.0,5.368286,0.891263
2020-02-05,sh.601009,5.63913952,5.68948898,5.58159728,5.62475396,45858964,0.0,5.354591,0.888989
2020-02-06,sh.601009,5.63913952,5.67510342,5.5744045,5.65352508,45762719,0.0,5.38198,0.893536
2020-02-07,sh.601009,5.6103684,5.67510342,5.58159728,5.67510342,33089733,0.0,5.402522,0.896947
2020-02-10,sh.601009,5.63194674,5.6463323,5.59598284,5.63913952,33974459,0.0,5.368286,0.891263
2020-02-11,sh.601009,5.63913952,5.70387454,5.6103684,5.66071786,41554971,0.0,5.388828,0.894673
2020-02-12,sh.601009,5.6463323,5.66071786,5.60317562,5.65352508,37843453,0.0,5.38198,0.893536
2020-02-13,sh.601009,5.63194674,5.66071786,5.58879006,5.58879006,36173032,0.0,5.320355,0.883305
2020-02-14,sh.601009,5.58879006,5.63913952,5.58159728,5.61756118,28475581,0.0,5.347744,0.887852
2020-02-17,sh.601009,5.61756118,5.7901879,5.61756118,5.7901879,54525405,0.0,5.512079,0.915136
2020-02-18,sh.601009,5.76141678,5.80457346,5.70387454,5.72545288,37805595,0.0,5.450453,0.904904
2020-02-19,sh.601009,5.72545288,5.78299512,5.69668176,5.7182601,34220320,0.0,5.443606,0.903767
2020-02-20,sh.601009,5.72545288,5.84773014,5.70387454,5.83334458,47499885,0.0,5.553163,0.921957
2020-02-21,sh.601009,5.80457346,5.8980796,5.78299512,5.84773014,42993454,0.0,5.566858,0.92423
2020-02-24,sh.601009,5.84773014,5.8621157,5.74703122,5.76141678,57492511,0.0,5.48469,0.910588
2020-02-25,sh.601009,5.66791064,5.74703122,5.63194674,5.69668176,47066843,0.0,5.423064,0.900357
2020-02-26,sh.601009,5.63913952,5.81176624,5.62475396,5.71106732,48852347,0.0,5.436759,0.902631
2020-02-27,sh.601009,5.68948898,5.76860956,5.68948898,5.754224,33985197,0.0,5.477843,0.909452
2020-02-28,sh.601009,5.66791064,5.73264566,5.58159728,5.58159728,46896325,0.0,5.313507,0.882168
2020-03-02,sh.601009,5.59598284,5.70387454,5.59598284,5.68948898,39083746,0.0,5.416217,0.89922
2020-03-03,sh.601009,5.73264566,5.74703122,5.65352508,5.66071786,42831185,0.0,5.388828,0.894673
2020-03-04,sh.601009,5.63913952,5.69668176,5.62475396,5.67510342,32034572,0.0,5.402522,0.896947
2020-03-05,sh.601009,5.71106732,5.90527238,5.71106732,5.8621157,94440197,0.0,5.580552,0.926504
2020-03-06,sh.601009,5.81176624,5.84773014,5.76141678,5.77580234,50797233,0.0,5.498385,0.912862
2020-03-09,sh.601009,5.68948898,5.69668176,5.60317562,5.60317562,58214109,0.0,5.334049,0.885578
2020-03-10,sh.601009,5.56721172,5.66791064,5.55282616,5.6463323,53730380,0.0,5.375133,0.892399
2020-03-11,sh.601009,5.6463323,5.66791064,5.60317562,5.6103684,36756509,0.0,5.340897,0.886715
2020-03-12,sh.601009,5.5744045,5.63194674,5.54563338,5.56001894,39775075,0.0,5.292965,0.878758
2020-03-13,sh.601009,5.394585,5.5384406,5.3226572,5.48809114,57028709,0.0,5.224492,0.867389
2020-03-16,sh.601009,5.48809114,5.5024767,5.3226572,5.3226572,49328895,0.0,5.067004,0.841243
2020-03-17,sh.601009,5.3586211,5.394585,5.2147655,5.3226572,37878954,0.0,5.067004,0.841243
2020-03-18,sh.601009,5.35142832,5.37300666,5.17160882,5.1788016,40273794,0.0,4.930058,0.818506
2020-03-19,sh.601009,5.15722326,5.19318716,5.02056044,5.09248824,50624393,0.0,4.847891,0.804865
2020-03-20,sh.601009,5.13564492,5.22915106,5.09968102,5.20757272,34371722,0.0,4.957448,0.823054
2020-03-23,sh.601009,5.0709099,5.13564492,5.05652434,5.07810268,26323093,0.0,4.834196,0.802591
2020-03-24,sh.601009,5.15003048,5.18599438,5.1068738,5.15722326,25885886,0.0,4.909516,0.815096
2020-03-25,sh.601009,5.27230774,5.31546442,5.20037994,5.26511496,32433115,0.0,5.012226,0.832148
2020-03-26,sh.601009,5.2507294,5.43774168,5.22195828,5.30107886,43423075,0.0,5.046463,0.837832
2020-03-27,sh.601009,5.3586211,5.38019944,5.30107886,5.31546442,27674290,0.0,5.060157,0.840106
2020-03-30,sh.601009,5.23634384,5.30107886,5.20037994,5.27230774,28851061,0.0,5.019073,0.833285
2020-03-31,sh.601009,5.29388608,5.31546442,5.2147655,5.2147655,24042701,0.0,4.964295,0.82419
2020-04-01,sh.601009,5.22915106,5.29388608,5.20757272,5.22915106,21411826,0.0,4.97799,0.826464
2020-04-02,sh.601009,5.19318716,5.2507294,5.18599438,5.24353662,26099845,0.0,4.991684,0.828738
