date,symbol,open,high,low,close,volume,openinterest,pe_ttm,pb
2020-01-02,sh.601006,5.52878844,5.5489665,5.49515834,5.49515834,28743725,0.0,8.53811,1.090252
2020-01-03,sh.601006,5.49515834,5.52878844,5.46825426,5.48843232,22495787,0.0,8.527659,1.088918
2020-01-06,sh.601006,5.46825426,5.49515834,5.4144461,5.42789814,30150205,0.0,8.433604,1.076908
2020-01-07,sh.601006,5.42117212,5.46152824,5.42117212,5.46152824,20230109,0.0,8.485857,1.08358
2020-01-08,sh.601006,5.44135018,5.4480762,5.38754202,5.40772008,20009821,0.0,8.402252,1.072905
2020-01-09,sh.601006,5.42117212,5.47498028,5.42117212,5.46152824,41094291,0.0,8.485857,1.08358
2020-01-10,sh.601006,5.46825426,5.47498028,5.42789814,5.4480762,29135581,0.0,8.464956,1.080911
2020-01-13,sh.601006,5.4480762,5.46152824,5.38754202,5.40099406,31453886,0.0,8.391802,1.07157
2020-01-14,sh.601006,5.3471859,5.42117212,5.3471859,5.40772008,25093089,0.0,8.402252,1.072905
2020-01-15,sh.601006,5.39426804,5.40099406,5.33373386,5.3471859,21315363,0.0,8.308197,1.060894
2020-01-16,sh.601006,5.34045988,5.37408998,5.32028182,5.32700784,24523259,0.0,8.276845,1.056891
2020-01-17,sh.601006,5.34045988,5.3471859,5.32028182,5.33373386,20235714,0.0,8.287296,1.058225
2020-01-20,sh.601006,5.32700784,5.39426804,5.3135558,5.380816,24884240,0.0,8.36045,1.067567
2020-01-21,sh.601006,5.36736396,5.380816,5.30010376,5.32028182,35413505,0.0,8.266395,1.055557
2020-01-22,sh.601006,5.30682978,5.30682978,5.25302162,5.27319968,26255833,0.0,8.193241,1.046215
2020-01-23,sh.601006,5.26647366,5.27319968,5.15885734,5.1790354,35035022,0.0,8.046933,1.027533
2020-02-03,sh.601006,4.7418441,4.95035072,4.7418441,4.85618644,66778516,0.0,7.545306,0.963479
2020-02-04,sh.601006,4.86291246,5.2462956,4.85618644,4.97052878,53609454,0.0,7.722966,0.986165
2020-02-05,sh.601006,4.99070684,4.99070684,4.92344664,4.96380276,37601370,0.0,7.712515,0.98483
2020-02-06,sh.601006,4.9772548,4.9772548,4.9099946,4.95707674,47615716,0.0,7.702065,0.983496
2020-02-07,sh.601006,4.93689868,4.95707674,4.89654256,4.95707674,32130238,0.0,7.702065,0.983496
2020-02-10,sh.601006,4.9099946,4.91672062,4.85618644,4.90326858,48970595,0.0,7.61846,0.97282
2020-02-11,sh.601006,4.90326858,4.95035072,4.88309052,4.93689868,38693225,0.0,7.670713,0.979492
2020-02-12,sh.601006,4.92344664,4.95035072,4.9099946,4.9436247,26154747,0.0,7.681163,0.980827
2020-02-13,sh.601006,4.9436247,4.9436247,4.91672062,4.92344664,17602318,0.0,7.649812,0.976824
2020-02-14,sh.601006,4.91672062,4.93017266,4.88981654,4.9099946,24393787,0.0,7.628911,0.974155
2020-02-17,sh.601006,4.90326858,4.98398082,4.88981654,4.9772548,36318454,0.0,7.733416,0.987499
2020-02-18,sh.601006,4.97052878,5.00415888,4.95035072,4.96380276,23605285,0.0,7.712515,0.98483
2020-02-19,sh.601006,4.95707674,4.97052878,4.9436247,4.95707674,21242250,0.0,7.702065,0.983496
2020-02-20,sh.601006,4.95707674,5.00415888,4.9436247,4.99070684,25451788,0.0,7.754317,0.990168
2020-02-21,sh.601006,4.98398082,5.00415888,4.97052878,4.99070684,25149525,0.0,7.754317,0.990168
2020-02-24,sh.601006,4.97052878,4.99070684,4.91672062,4.92344664,35810346,0.0,7.649812,0.976824
2020-02-25,sh.601006,4.88309052,4.91672062,4.83600838,4.86963848,46103901,0.0,7.566207,0.966148
2020-02-26,sh.601006,4.85618644,4.92344664,4.82928236,4.90326858,35251433,0.0,7.61846,0.97282
2020-02-27,sh.601006,4.91672062,4.91672062,4.85618644,4.8763645,35726196,0.0,7.576658,0.967482
2020-02-28,sh.601006,4.82255634,4.8427344,4.76202216,4.76202216,57693502,0.0,7.398998,0.944797
2020-03-02,sh.601006,4.76202216,4.85618644,4.76202216,4.84946042,45777970,0.0,7.534856,0.962144
2020-03-03,sh.601006,4.86963848,4.88981654,4.84946042,4.86291246,35813938,0.0,7.555757,0.964813
2020-03-04,sh.601006,4.84946042,4.92344664,4.83600838,4.91672062,40053331,0.0,7.639361,0.975489
2020-03-05,sh.601006,4.93689868,4.9772548,4.91672062,4.96380276,40765437,0.0,7.712515,0.98483
2020-03-06,sh.601006,4.92344664,4.93017266,4.88981654,4.89654256,26150381,0.0,7.608009,0.971486
2020-03-09,sh.601006,4.83600838,4.86291246,4.78892624,4.79565226,39908812,0.0,7.451251,0.951469
2020-03-10,sh.601006,4.7754742,4.8427344,4.76874818,4.83600838,32329173,0.0,7.513954,0.959476
2020-03-11,sh.601006,4.83600838,4.83600838,4.78220022,4.78892624,32941471,0.0,7.4408,0.950134
2020-03-12,sh.601006,4.76874818,4.82255634,4.7418441,4.79565226,42086928,0.0,7.451251,0.951469
2020-03-13,sh.601006,4.708214,4.7754742,4.65440584,4.7418441,43565658,0.0,7.367647,0.940793
2020-03-16,sh.601006,4.7418441,4.78892624,4.708214,4.72166604,34230760,0.0,7.336295,0.93679
2020-03-17,sh.601006,4.71494002,4.7754742,4.68803594,4.7418441,31168284,0.0,7.367647,0.940793
2020-03-18,sh.601006,4.76202216,4.7754742,4.68803594,4.68803594,28885872,0.0,7.284042,0.930117
2020-03-19,sh.601006,4.66113186,4.68803594,4.5064334,4.54678952,45653778,0.0,7.06458,0.902094
2020-03-20,sh.601006,4.59387166,4.6073237,4.53333748,4.56696758,31239928,0.0,7.095932,0.906097
2020-03-23,sh.601006,4.51315942,4.55351554,4.49970738,4.49970738,22525695,0.0,6.991426,0.892753
2020-03-24,sh.601006,4.54678952,4.61404972,4.53333748,4.59387166,31795826,0.0,7.137734,0.911435
2020-03-25,sh.601006,4.66113186,4.66785788,4.6073237,4.6409538,21445391,0.0,7.210888,0.920776
2020-03-26,sh.601006,4.61404972,4.62750176,4.55351554,4.56696758,25986580,0.0,7.095932,0.906097
2020-03-27,sh.601006,4.60059768,4.6409538,4.58714564,4.6073237,16985375,0.0,7.158635,0.914104
2020-03-30,sh.601006,4.58041962,4.6073237,4.5400635,4.5736936,18803037,0.0,7.106382,0.907432
2020-03-31,sh.601006,4.6073237,4.62077574,4.55351554,4.5736936,13260420,0.0,7.106382,0.907432
2020-04-01,sh.601006,4.56024156,4.5736936,4.51315942,4.52661146,26442650,0.0,7.033229,0.89809
2020-04-02,sh.601006,4.53333748,4.5736936,4.49970738,4.5736936,20171019,0.0,7.106382,0.907432
2020-04-03,sh.601006,4.55351554,4.56696758,4.53333748,4.56024156,15915007,0.0,7.085481,0.904763
2020-04-07,sh.601006,4.59387166,4.6409538,4.58714564,4.62750176,28586203,0.0,7.189987,0.918107
2020-04-08,sh.601006,4.61404972,4.63422778,4.59387166,4.62077574,11764433,0.0,7.179536,0.916773
2020-04-09,sh.601006,4.62077574,4.63422778,4.6073237,4.61404972,10502041,0.0,7.169086,0.915438
2020-04-10,sh.601006,4.62750176,4.64767982,4.6073237,4.63422778,14457500,0.0,7.200438,0.919442
2020-04-13,sh.601006,4.61404972,4.63422778,4.5736936,4.58041962,10156800,0.0,7.116833,0.908766
2020-04-14,sh.601006,4.58714564,4.63422778,4.5736936,4.63422778,13465712,0.0,7.200438,0.919442
2020-04-15,sh.601006,4.63422778,4.63422778,4.6073237,4.6073237,13492438,0.0,7.158635,0.914104
2020-04-16,sh.601006,4.59387166,4.6073237,4.56696758,4.59387166,18535145,0.0,7.137734,0.911435
2020-04-17,sh.601006,4.60059768,4.62077574,4.5736936,4.6073237,15157011,0.0,7.158635,0.914104
2020-04-20,sh.601006,4.6073237,4.62077574,4.58041962,4.58714564,14267486,0.0,7.127284,0.910101
2020-04-21,sh.601006,4.5736936,4.58714564,4.53333748,4.53333748,16358837,0.0,7.043679,0.899425
2020-04-22,sh.601006,4.53333748,4.56696758,4.5064334,4.56024156,16206461,0.0,7.085481,0.904763
2020-04-23,sh.601006,4.5736936,4.60059768,4.56024156,4.58714564,18953888,0.0,7.127284,0.910101
2020-04-24,sh.601006,4.58714564,4.59387166,4.55351554,4.58041962,10618987,0.0,7.116833,0.908766
2020-04-27,sh.601006,4.58714564,4.6073237,4.56024156,4.56024156,19990622,0.0,7.085481,0.904763
2020-04-28,sh.601006,4.56696758,4.58714564,4.5064334,4.51988544,19380245,0.0,7.022778,0.896756
2020-04-29,sh.601006,4.5736936,4.76874818,4.5736936,4.76202216,49964297,0.0,8.603719,0.904826
2020-04-30,sh.601006,4.7418441,4.9099946,4.7418441,4.82928236,63271266,0.0,8.72524,0.917606
2020-05-06,sh.601006,4.74857012,4.8091043,4.68803594,4.708214,49459572,0.0,8.506501,0.894602
2020-05-07,sh.601006,4.71494002,4.73511808,4.64767982,4.68803594,43462469,0.0,8.470045,0.890768
2020-05-08,sh.601006,4.69476196,4.69476196,4.66113186,4.6745839,29842894,0.0,8.445741,0.888212
2020-05-11,sh.601006,4.6745839,4.71494002,4.65440584,4.68130992,46911916,0.0,8.457893,0.88949
2020-05-12,sh.601006,4.68130992,4.72839206,4.6745839,4.68130992,31579658,0.0,8.457893,0.88949
2020-05-13,sh.601006,4.68130992,4.69476196,4.6745839,4.68130992,27655804,0.0,8.457893,0.88949
2020-05-14,sh.601006,4.68130992,4.68803594,4.66113186,4.66113186,20268785,0.0,8.421436,0.885656
2020-05-15,sh.601006,4.66785788,4.68130992,4.64767982,4.65440584,20507546,0.0,8.409284,0.884378
2020-05-18,sh.601006,4.6745839,4.68130992,4.6409538,4.66113186,37118740,0.0,8.421436,0.885656
2020-05-19,sh.601006,4.66785788,4.68130992,4.63422778,4.6409538,38812769,0.0,8.38498,0.881822
2020-05-20,sh.601006,4.6409538,4.6409538,4.59387166,4.60059768,30126808,0.0,8.312067,0.874154
2020-05-21,sh.601006,4.6073237,4.61404972,4.58041962,4.58714564,14589968,0.0,8.287763,0.871598
2020-05-22,sh.601006,4.58714564,4.59387166,4.5400635,4.54678952,28029241,0.0,8.21485,0.86393
2020-05-25,sh.601006,4.5400635,4.56024156,4.52661146,4.5400635,23764400,0.0,8.202698,0.862652
2020-05-26,sh.601006,4.54678952,4.56696758,4.53333748,4.56024156,25641629,0.0,8.239154,0.866486
2020-05-27,sh.601006,4.54678952,4.59387166,4.5400635,4.58041962,28401288,0.0,8.275611,0.87032
2020-05-28,sh.601006,4.58714564,4.63422778,4.58714564,4.61404972,21891301,0.0,8.336371,0.87671
2020-05-29,sh.601006,4.62077574,4.63422778,4.58714564,4.58714564,20422369,0.0,8.287763,0.871598
2020-06-01,sh.601006,4.58714564,4.62750176,4.58041962,4.61404972,20565866,0.0,8.336371,0.87671
2020-06-02,sh.601006,4.62077574,4.66785788,4.61404972,4.66113186,25289105,0.0,8.421436,0.885656
2020-06-03,sh.601006,4.66785788,4.72166604,4.66113186,4.66785788,24385763,0.0,8.433589,0.886934
2020-06-04,sh.601006,4.6745839,4.68803594,4.64767982,4.66113186,17699281,0.0,8.421436,0.885656
2020-06-05,sh.601006,4.6745839,4.68803594,4.66113186,4.68130992,17907468,0.0,8.457893,0.88949
2020-06-08,sh.601006,4.69476196,4.70148798,4.6745839,4.69476196,15520994,0.0,8.482197,0.892046
2020-06-09,sh.601006,4.70148798,4.75529614,4.68803594,4.7418441,27914212,0.0,8.567262,0.900992
2020-06-10,sh.601006,4.76202216,4.76202216,4.72166604,4.72839206,17874259,0.0,8.542958,0.898436
2020-06-11,sh.601006,4.72839206,4.76202216,4.708214,4.71494002,28547184,0.0,8.518654,0.89588
2020-06-12,sh.601006,4.6745839,4.71494002,4.66113186,4.66785788,25137749,0.0,8.433589,0.886934
2020-06-15,sh.601006,4.66785788,4.68803594,4.6409538,4.66785788,17367652,0.0,8.433589,0.886934
2020-06-16,sh.601006,4.68130992,4.72166604,4.66785788,4.70148798,16409021,0.0,8.494349,0.893324
2020-06-17,sh.601006,4.71494002,4.75529614,4.69476196,4.7418441,20465250,0.0,8.567262,0.900992
2020-06-18,sh.601006,4.7418441,4.7754742,4.72166604,4.76874818,18445940,0.0,8.615871,0.906104
2020-06-19,sh.601006,4.78220022,4.81583032,4.75529614,4.79565226,33428713,0.0,8.664479,0.911216
2020-06-22,sh.601006,4.79565226,4.80237828,4.73511808,4.75529614,16337673,0.0,8.591566,0.903548
